Anos;Vazao
1920;152,4
1921;220
1922;274,1
1923;318,7
1924;147,2
1925;229
1926;512
1927;345,5
1928;186,8
1929;190,4
1930;244
1931;200,5
1932;168,4
1933;130,1
1934;343,1
1935;150,1
1936;217,6
1937;319,8
1938;130,7
1939;346
1940;164,1
1941;192,5
1942;339
1943;167,4
1944;265,2
1945;209,4
1946;257,5
1947;292,8
1948;262,2
1949;187,2
1950;234,2
1951;158,3
1952;172
1953;275,6
1954;164,8
1955;206,1
1956;214,7
1957;246,5
1958;289,8
1959;175,8
1960;179,9
1961;231,6
1962;326,5
1963;176
1964;200
1965;176,9
1966;396,4
1967;196,5
1968;145,6
1969;132,1
1970;250,8
1971;182,5
1972;224,2
1973;280,3
1974;146,3
1975;295,6
1976;399,1
1977;145,6
1978;148,6
1979;229
1980;171,5
1981;160
1982;183,1
1983;167,5
1984;181,4
1985;207,7
1986;187,1
1987;203,4
1988;230,3
1989;263,3
1990;381
1991;276,5
1992;289,4
1993;161,2
1994;146,7
1995;253
1996;152,4
1997;184,9
1998;151,2
1999;565,1
2000;205,1
2001;216,8
2002;251,1
2003;298,3
2004;238,9
2005;257
2006;231
2007;166,1
2008;341,6
2009;172,2
2010;236
2011;198,9
2012;286,1
2013;288,8
2014;251,2
2015;216,8
2016;271,7
2017;193,2
2018;279,4
2019;194,6
