Anos;Vazao
1967;28501,51
1968;34202,938
1969;28178,443
1970;31456,002
1971;34570,313
1972;36820,852
1973;38438,98
1974;37215,891
1975;37265,422
1976;40228,508
1977;36042,547
1978;40917,402
1979;42929,074
1980;37364,648
1981;37713,57
1982;46769,5
1983;36968,996
1984;47485,004
1985;38469,902
1986;47365,16
1987;34059,453
1988;41292,172
1989;33145,859
1990;33100,691
1991;40970,777
1992;40545,316
1993;44960,355
1994;37464,078
1995;38419,109
1996;33783,316
1997;48880,473
1998;38469,902
1999;37215,891
2000;34617,051
2001;43262,5
2002;37414,336
2003;36430,375
2004;32119,205
2005;31203,855
2006;41669,645
2007;42652,77
2008;46076,395
2009;39312,375
2010;39455,398
2011;43662,824
2012;39906,121
2013;43493,273
2014;58334,352
2015;43418,738
2016;35718,852
2017;33478,961
2018;41624,559
2019;45183,87365
